车站编号,日期,时刻,进站量,出站量,客流量（进出）,环境温度,能耗值
石油路站-1号线,2024-07-15,6:00-7:00,395,49,444,28,103
,,7:00-8:00,1352,762,2114,29,159
,,8:00-9:00,2099,4779,6878,31,247
,,9:00-10:00,1026,3132,4158,32,229
,,10:00-11:00,651,1391,2042,34,159
,,11:00-12:00,764,1301,2065,35,159
,,12:00-13:00,927,1378,2305,36,162
,,13:00-14:00,1168,1393,2561,37,168
,,14:00-15:00,1104,1473,2577,37,169
,,15:00-16:00,1257,1412,2669,37,175
,,16:00-17:00,1579,1467,3046,37,224
,,17:00-18:00,2855,2409,5264,36,234
,,18:00-19:00,4036,3510,7546,35,246
,,19:00-20:00,2191,1782,3973,35,227
,,20:00-21:00,1923,897,2820,33,179
,,21:00-22:00,1793,589,2382,31,160
,,22:00-23:00,1317,381,1698,29,106
,,23:00-24:00,88,103,191,28,101
图书馆站-环线,2024-07-15,6:00-7:00,334,117,451,28,103
,,7:00-8:00,1010,1210,2220,29,246
,,8:00-9:00,1189,1457,2646,31,251
,,9:00-10:00,769,1094,1863,32,182
,,10:00-11:00,832,625,1457,34,175
,,11:00-12:00,778,500,1278,35,173
,,12:00-13:00,782,505,1287,36,173
,,13:00-14:00,666,680,1346,37,175
,,14:00-15:00,705,692,1397,37,175
,,15:00-16:00,832,536,1368,37,175
,,16:00-17:00,903,594,1497,37,176
,,17:00-18:00,1132,862,1994,36,249
,,18:00-19:00,811,1169,1980,35,248
,,19:00-20:00,483,641,1124,35,173
,,20:00-21:00,427,464,891,33,112
,,21:00-22:00,381,415,796,31,106
,,22:00-23:00,115,243,358,29,104
,,23:00-24:00,10,82,92,28,102
仁济站-环线,2024-07-15,6:00-7:00,191,11,202,28,170
,,7:00-8:00,389,135,524,29,247
,,8:00-9:00,421,170,591,31,252
,,9:00-10:00,228,137,365,32,178
,,10:00-11:00,155,151,306,34,174
,,11:00-12:00,115,106,221,35,173
,,12:00-13:00,143,94,237,36,173
,,13:00-14:00,127,106,233,37,173
,,14:00-15:00,107,124,231,37,174
,,15:00-16:00,120,114,234,37,173
,,16:00-17:00,139,179,318,37,177
,,17:00-18:00,215,282,497,36,249
,,18:00-19:00,116,467,583,35,253
,,19:00-20:00,69,240,309,35,175
,,20:00-21:00,43,134,177,33,106
,,21:00-22:00,29,124,153,31,105
,,22:00-23:00,22,101,123,29,103
,,23:00-24:00,1,15,16,28,102
石油路站-1号线,2024-07-16,6:00-7:00,356,42,398,29,103
,,7:00-8:00,1250,736,1986,31,110
,,8:00-9:00,2064,4477,6541,32,243
,,9:00-10:00,1017,3172,4189,34,231
,,10:00-11:00,779,1373,2152,35,161
,,11:00-12:00,667,1321,1988,36,112
,,12:00-13:00,802,1310,2112,37,161
,,13:00-14:00,1167,1482,2649,38,171
,,14:00-15:00,1154,1283,2437,38,167
,,15:00-16:00,1313,1344,2657,38,175
,,16:00-17:00,1502,1479,2981,38,183
,,17:00-18:00,2852,2263,5115,39,239
,,18:00-19:00,3806,3470,7276,38,246
,,19:00-20:00,2036,1595,3631,37,226
,,20:00-21:00,1989,895,2884,36,183
,,21:00-22:00,1725,619,2344,34,162
,,22:00-23:00,1304,477,1781,32,106
,,23:00-24:00,87,75,162,29,100
图书馆站-环线,2024-07-16,6:00-7:00,303,84,387,29,104
,,7:00-8:00,948,1189,2137,31,248
,,8:00-9:00,1117,1492,2609,32,251
,,9:00-10:00,851,1110,1961,34,246
,,10:00-11:00,797,707,1504,35,175
,,11:00-12:00,769,580,1349,36,174
,,12:00-13:00,703,526,1229,37,175
,,13:00-14:00,597,691,1288,38,175
,,14:00-15:00,707,605,1312,38,175
,,15:00-16:00,788,487,1275,38,175
,,16:00-17:00,932,606,1538,38,179
,,17:00-18:00,1070,856,1926,39,248
,,18:00-19:00,864,1140,2004,38,250
,,19:00-20:00,498,599,1097,37,174
,,20:00-21:00,404,442,846,36,112
,,21:00-22:00,378,425,803,34,110
,,22:00-23:00,113,215,328,32,104
,,23:00-24:00,8,96,104,29,102
仁济站-环线,2024-07-16,6:00-7:00,189,10,199,29,108
,,7:00-8:00,343,160,503,31,246
,,8:00-9:00,445,175,620,32,253
,,9:00-10:00,227,148,375,34,179
,,10:00-11:00,125,153,278,35,175
,,11:00-12:00,100,91,191,36,112
,,12:00-13:00,139,89,228,37,174
,,13:00-14:00,125,88,213,38,173
,,14:00-15:00,133,115,248,38,175
,,15:00-16:00,115,152,267,38,176
,,16:00-17:00,171,146,317,38,177
,,17:00-18:00,243,265,508,39,252
,,18:00-19:00,123,439,562,38,254
,,19:00-20:00,78,261,339,37,177
,,20:00-21:00,64,176,240,36,173
,,21:00-22:00,30,149,179,34,107
,,22:00-23:00,18,94,112,32,105
,,23:00-24:00,2,13,15,29,103
石油路站-1号线,2024-07-17,6:00-7:00,358,48,406,29,103
,,7:00-8:00,1267,726,1993,30,109
,,8:00-9:00,2048,4481,6529,31,243
,,9:00-10:00,1038,3150,4188,32,229
,,10:00-11:00,730,1353,2083,33,159
,,11:00-12:00,663,1257,1920,34,109
,,12:00-13:00,880,1407,2287,36,162
,,13:00-14:00,1167,1409,2576,37,168
,,14:00-15:00,1117,1417,2534,37,168
,,15:00-16:00,1244,1283,2527,37,168
,,16:00-17:00,1464,1614,3078,37,224
,,17:00-18:00,2846,2276,5122,37,237
,,18:00-19:00,3924,3608,7532,36,246
,,19:00-20:00,2098,1510,3608,35,225
,,20:00-21:00,1970,877,2847,34,179
,,21:00-22:00,1721,687,2408,32,161
,,22:00-23:00,1324,418,1742,30,106
,,23:00-24:00,82,114,196,29,101
图书馆站-环线,2024-07-17,6:00-7:00,317,90,407,29,104
,,7:00-8:00,922,1111,2033,30,246
,,8:00-9:00,1199,1627,2826,31,254
,,9:00-10:00,743,1233,1976,32,245
,,10:00-11:00,757,689,1446,33,173
,,11:00-12:00,883,497,1380,34,173
,,12:00-13:00,694,493,1187,36,171
,,13:00-14:00,625,660,1285,37,175
,,14:00-15:00,738,576,1314,37,175
,,15:00-16:00,847,545,1392,37,175
,,16:00-17:00,882,569,1451,37,176
,,17:00-18:00,1093,846,1939,37,246
,,18:00-19:00,877,1060,1937,36,246
,,19:00-20:00,505,641,1146,35,173
,,20:00-21:00,448,452,900,34,112
,,21:00-22:00,360,451,811,32,109
,,22:00-23:00,105,194,299,30,103
,,23:00-24:00,13,88,101,29,102
仁济站-环线,2024-07-17,6:00-7:00,186,13,199,29,108
,,7:00-8:00,375,153,528,30,248
,,8:00-9:00,421,162,583,31,252
,,9:00-10:00,223,132,355,32,175
,,10:00-11:00,150,160,310,33,173
,,11:00-12:00,108,107,215,34,172
