车站编号,日期,时刻,进站量,出站量,客流量（进出）,环境温度,能耗值,hour,datetime,dayofweek,is_weekend,能耗值_lag1,能耗值_lag2,能耗值_rolling3_mean,能耗值_rolling3_std
仁济站-环线,2024-07-22,8:00-9:00,356,248,604,33.2,226,8,2024-07-22 08:00:00,0,0,185.0,166.0,192.33333333333334,30.6648550189518
仁济站-环线,2024-07-22,9:00-10:00,249,126,375,32.4,206,9,2024-07-22 09:00:00,0,0,226.0,185.0,205.66666666666666,20.50203241957571
仁济站-环线,2024-07-22,10:00-11:00,110,151,261,35.7,193,10,2024-07-22 10:00:00,0,0,206.0,226.0,208.33333333333334,16.62327685305558
仁济站-环线,2024-07-22,11:00-12:00,119,119,238,35.3,206,11,2024-07-22 11:00:00,0,0,193.0,206.0,201.66666666666666,7.505553499465135
仁济站-环线,2024-07-22,12:00-13:00,139,152,291,36.6,193,12,2024-07-22 12:00:00,0,0,206.0,193.0,197.33333333333334,7.505553499465135
仁济站-环线,2024-07-22,13:00-14:00,199,194,393,39.3,186,13,2024-07-22 13:00:00,0,0,193.0,206.0,195.0,10.14889156509222
仁济站-环线,2024-07-22,14:00-15:00,107,130,237,38.9,181,14,2024-07-22 14:00:00,0,0,186.0,193.0,186.66666666666666,6.027713773341707
仁济站-环线,2024-07-22,15:00-16:00,117,156,273,38.2,179,15,2024-07-22 15:00:00,0,0,181.0,186.0,182.0,3.605551275463989
仁济站-环线,2024-07-22,16:00-17:00,168,200,368,39.1,177,16,2024-07-22 16:00:00,0,0,179.0,181.0,179.0,2.0
仁济站-环线,2024-07-22,17:00-18:00,253,323,576,36.4,181,17,2024-07-22 17:00:00,0,0,177.0,179.0,179.0,2.0
仁济站-环线,2024-07-22,18:00-19:00,93,500,593,34.7,200,18,2024-07-22 18:00:00,0,0,181.0,177.0,186.0,12.288205727444508
仁济站-环线,2024-07-22,19:00-20:00,61,196,257,36.4,191,19,2024-07-22 19:00:00,0,0,200.0,181.0,190.66666666666666,9.504384952922168
仁济站-环线,2024-07-22,20:00-21:00,50,171,221,33.7,173,20,2024-07-22 20:00:00,0,0,191.0,200.0,188.0,13.74772708486752
仁济站-环线,2024-07-22,21:00-22:00,45,165,210,30.9,136,21,2024-07-22 21:00:00,0,0,173.0,191.0,166.66666666666666,28.04163571073081
仁济站-环线,2024-07-22,22:00-23:00,24,124,148,30.5,124,22,2024-07-22 22:00:00,0,0,136.0,173.0,144.33333333333334,25.540817005987364
仁济站-环线,2024-07-22,23:00-24:00,1,13,14,29.0,115,23,2024-07-22 23:00:00,0,0,124.0,136.0,125.0,10.535653752852738
仁济站-环线,2024-07-23,6:00-7:00,133,33,166,30.7,135,6,2024-07-23 06:00:00,1,0,115.0,124.0,124.66666666666667,10.016652800877813
仁济站-环线,2024-07-23,7:00-8:00,360,227,587,32.0,177,7,2024-07-23 07:00:00,1,0,135.0,115.0,142.33333333333334,31.64385143014885
仁济站-环线,2024-07-23,8:00-9:00,443,208,651,31.1,201,8,2024-07-23 08:00:00,1,0,177.0,135.0,171.0,33.406586176980134
