epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.087,0.864,5.45017,1.22489,0,0,0,0,0.81518,inf,0.71906,0.0807824,0.000194118,0.000194118
2,509.421,0.4417,4.08378,0.98868,0.0009,0.28276,0.00246,0.00245,0.25825,3.78482,0.47743,0.0609785,0.000390216,0.000390216
3,1004.67,0.38072,3.64533,0.95873,0.00317,0.69607,0.01312,0.01301,0.25749,3.90557,0.44544,0.0411706,0.000582354,0.000582354
4,1488.73,0.35416,3.3713,0.94651,0.67285,0.07806,0.02566,0.02547,0.35873,3.89367,0.45255,0.0213588,0.000770532,0.000770532
5,1893.73,0.35393,3.06572,0.94295,0.52393,0.12226,0.05027,0.04947,0.40717,3.71759,0.46273,0.00154299,0.000954751,0.000954751
6,2187.68,0.34162,2.76213,0.93872,0.5396,0.1519,0.07127,0.07058,0.38445,3.56253,0.45888,0.0009505,0.0009505,0.0009505
7,2436.3,0.33022,2.54216,0.93249,0.34121,0.26386,0.14338,0.1422,0.36646,2.97273,0.45505,0.0009406,0.0009406,0.0009406
8,2615.05,0.33665,2.34246,0.93593,0.36014,0.24983,0.15252,0.15119,0.34387,2.95781,0.45699,0.0009307,0.0009307,0.0009307
9,2788.86,0.34129,2.14744,0.93406,0.37412,0.32668,0.24467,0.23821,0.42445,2.49317,0.46299,0.0009208,0.0009208,0.0009208
10,2938.61,0.3352,1.96668,0.9322,0.34957,0.42357,0.34864,0.34472,0.33709,2.2353,0.45829,0.0009109,0.0009109,0.0009109
11,3069.09,0.32313,1.81321,0.9292,0.36983,0.50778,0.43563,0.43103,0.36553,2.01051,0.45654,0.000901,0.000901,0.000901
12,3195.42,0.31386,1.67214,0.92605,0.35738,0.47463,0.40533,0.3841,0.42419,2.10887,0.47015,0.0008911,0.0008911,0.0008911
13,3323.53,0.31001,1.54778,0.92694,0.44266,0.54412,0.52378,0.51957,0.37033,1.81875,0.45487,0.0008812,0.0008812,0.0008812
14,3425.75,0.31163,1.46405,0.92618,0.47157,0.53677,0.53591,0.52635,0.35226,1.7399,0.45704,0.0008713,0.0008713,0.0008713
15,3521.92,0.30532,1.35936,0.92341,0.52509,0.59153,0.60879,0.60165,0.33466,1.56191,0.45295,0.0008614,0.0008614,0.0008614
16,3607.4,0.30779,1.2779,0.92417,0.58951,0.63501,0.68483,0.68057,0.34516,1.39288,0.45329,0.0008515,0.0008515,0.0008515
17,3688.08,0.29611,1.20561,0.92224,0.6212,0.67972,0.72189,0.69985,0.37278,1.35404,0.46407,0.0008416,0.0008416,0.0008416
18,3764.33,0.28129,1.13487,0.91765,0.63795,0.66079,0.71545,0.694,0.38487,1.29925,0.46379,0.0008317,0.0008317,0.0008317
19,3838.87,0.28694,1.10225,0.91855,0.70628,0.73112,0.8002,0.76543,0.41544,1.08611,0.46846,0.0008218,0.0008218,0.0008218
20,3904.72,0.27995,1.04188,0.91833,0.74537,0.75073,0.82812,0.80732,0.3909,1.02102,0.46447,0.0008119,0.0008119,0.0008119
21,3971.91,0.27383,0.98937,0.91693,0.6973,0.69907,0.76593,0.75118,0.37232,1.223,0.46768,0.000802,0.000802,0.000802
22,4037.42,0.26411,0.9391,0.91314,0.75984,0.7363,0.82444,0.80649,0.41307,1.0858,0.46323,0.0007921,0.0007921,0.0007921
23,4097.21,0.26789,0.91914,0.91398,0.78684,0.76461,0.85419,0.83457,0.33703,0.97822,0.45856,0.0007822,0.0007822,0.0007822
24,4151.58,0.25983,0.88649,0.91188,0.81792,0.78545,0.8745,0.85857,0.34228,0.90331,0.45049,0.0007723,0.0007723,0.0007723
25,4207.12,0.25885,0.86878,0.91181,0.81131,0.77384,0.86888,0.85865,0.31606,0.97106,0.44544,0.0007624,0.0007624,0.0007624
26,4260,0.25639,0.84306,0.90981,0.78411,0.79401,0.87279,0.85289,0.36802,0.87561,0.45922,0.0007525,0.0007525,0.0007525
27,4322.09,0.25776,0.83059,0.90978,0.8078,0.78069,0.86824,0.86085,0.33523,1.05101,0.44939,0.0007426,0.0007426,0.0007426
